term,normalized_term,domain,domain_score,second_domain,second_domain_score,score_margin,confidence,assignment_method,matched_keywords,matched_strong_keywords,reason,table_count,total_occurrences,matched_override_rules
Overcrowding rate by age group - EU-SILC survey,overcrowding rate by age group - eu-silc survey,Other or multidisciplinary,0.017532,Labour market,0.014648,0.002884,low,low_similarity_fallback,,,Best profile: Demography and population; score=0.0175; margin=0.0029,1,1,
Correction coefficients outside the European Union Duty stations - index Brussels = 100,correction coefficients outside the european union duty stations - index brussels = 100,Other or multidisciplinary,0.017485,Housing and construction,0.0,0.017485,low,low_similarity_fallback,,,Best profile: Economy and national accounts; score=0.0175; margin=0.0175,1,1,
Seat capacity of new motor coaches buses and trolley buses,seat capacity of new motor coaches buses and trolley buses,Other or multidisciplinary,0.016709,Housing and construction,0.0,0.016709,low,low_similarity_fallback,,,Best profile: Tourism; score=0.0167; margin=0.0167,1,1,
Persons reporting basic activity difficulty by sex age level of difficulty and degree of urbanization,persons reporting basic activity difficulty by sex age level of difficulty and degree of urbanization,Other or multidisciplinary,0.016469,Tourism,0.009698,0.00677,low,low_similarity_fallback,,,Best profile: Housing and construction; score=0.0165; margin=0.0068,1,1,
Overcrowding rate by tenure status - EU-SILC survey,overcrowding rate by tenure status - eu-silc survey,Other or multidisciplinary,0.016394,Health,0.016027,0.000367,low,low_similarity_fallback,,,Best profile: Demography and population; score=0.0164; margin=0.0004,1,1,
Overcrowding rate by degree of urbanisation - EU-SILC survey,overcrowding rate by degree of urbanisation - eu-silc survey,Other or multidisciplinary,0.016232,Labour market,0.013561,0.00267,low,low_similarity_fallback,,,Best profile: Demography and population; score=0.0162; margin=0.0027,1,1,
Beneficiaries of temporary protection at the end of the month by citizenship age and sex - monthly data,beneficiaries of temporary protection at the end of the month by citizenship age and sex - monthly data,Other or multidisciplinary,0.016173,Housing and construction,0.0,0.016173,low,low_similarity_fallback,,,Best profile: Labour market; score=0.0162; margin=0.0162,1,1,
Persons subject of asylum applications pending at the end of the month - monthly data,persons subject of asylum applications pending at the end of the month - monthly data,Other or multidisciplinary,0.016125,Housing and construction,0.0,0.016125,low,low_similarity_fallback,,,Best profile: Labour market; score=0.0161; margin=0.0161,1,1,
Loan and deposit one year interest rate,loan and deposit one year interest rate,Other or multidisciplinary,0.015955,Labour market,0.01333,0.002625,low,low_similarity_fallback,,,Best profile: Demography and population; score=0.0160; margin=0.0026,1,1,
Enterprises with members in other EEA countries,enterprises with members in other eea countries,Other or multidisciplinary,0.015937,Housing and construction,0.0,0.015937,low,low_similarity_fallback,,,"Best profile: Business, industry and trade; score=0.0159; margin=0.0159",1,1,
Share of women researchers all sectors,share of women researchers all sectors,Other or multidisciplinary,0.015573,Housing and construction,0.0,0.015573,low,low_similarity_fallback,,,"Best profile: Business, industry and trade; score=0.0156; margin=0.0156",1,1,
Current account transactions - services credits debits and balance,current account transactions - services credits debits and balance,Other or multidisciplinary,0.015423,Housing and construction,0.0,0.015423,low,low_similarity_fallback,,,Best profile: Health; score=0.0154; margin=0.0154,1,1,
Median saving rate by degree of urbanisation - experimental statistics,median saving rate by degree of urbanisation - experimental statistics,Other or multidisciplinary,0.014667,Labour market,0.012254,0.002413,low,low_similarity_fallback,,,Best profile: Demography and population; score=0.0147; margin=0.0024,1,1,
Persons subject of asylum applications pending at the end of the month by citizenship age and sex - monthly data,persons subject of asylum applications pending at the end of the month by citizenship age and sex - monthly data,Other or multidisciplinary,0.014548,Housing and construction,0.0,0.014548,low,low_similarity_fallback,,,Best profile: Labour market; score=0.0145; margin=0.0145,1,1,
Enterprises with members in other EEA countries - number,enterprises with members in other eea countries - number,Other or multidisciplinary,0.014236,Housing and construction,0.0,0.014236,low,low_similarity_fallback,,,"Best profile: Business, industry and trade; score=0.0142; margin=0.0142",1,59,
Harmonised risk indicator 1 for pesticides by categorisation of active substances,harmonised risk indicator 1 for pesticides by categorisation of active substances,Other or multidisciplinary,0.014201,Housing and construction,0.0,0.014201,low,low_similarity_fallback,,,"Best profile: Income, poverty and living conditions; score=0.0142; margin=0.0142",1,1,
Relative incidence rate of accidental injuries at work by severity frequency of night work and age EU mean rate = 100 for each severity,relative incidence rate of accidental injuries at work by severity frequency of night work and age eu mean rate = 100 for each severity,Other or multidisciplinary,0.014112,Labour market,0.01179,0.002322,low,low_similarity_fallback,,,Best profile: Demography and population; score=0.0141; margin=0.0023,1,1,
Relative incidence rate of accidental injuries at work by severity frequency of shift work and age EU mean rate = 100 for each severity,relative incidence rate of accidental injuries at work by severity frequency of shift work and age eu mean rate = 100 for each severity,Other or multidisciplinary,0.014095,Labour market,0.011776,0.002319,low,low_similarity_fallback,,,Best profile: Demography and population; score=0.0141; margin=0.0023,1,1,
Nitrogen dioxide concentrations in European capital cities - monthly averages experimental statistics,nitrogen dioxide concentrations in european capital cities - monthly averages experimental statistics,Other or multidisciplinary,0.014011,Housing and construction,0.0,0.014011,low,low_similarity_fallback,,,Best profile: Labour market; score=0.0140; margin=0.0140,1,1,
Asylum applicants having had their applications processed under the accelerated procedure by age sex and citizenship - monthly data,asylum applicants having had their applications processed under the accelerated procedure by age sex and citizenship - monthly data,Other or multidisciplinary,0.013745,Housing and construction,0.0,0.013745,low,low_similarity_fallback,,,Best profile: Labour market; score=0.0137; margin=0.0137,1,1,
Share of women researchers by sectors of performance,share of women researchers by sectors of performance,Other or multidisciplinary,0.013482,Housing and construction,0.0,0.013482,low,low_similarity_fallback,,,"Best profile: Business, industry and trade; score=0.0135; margin=0.0135",1,1,
Prisoners by legal status of the trial process,prisoners by legal status of the trial process,Other or multidisciplinary,0.013389,Housing and construction,0.0,0.013389,low,low_similarity_fallback,,,Best profile: Health; score=0.0134; margin=0.0134,1,1,
Profit share of non-financial corporations,profit share of non-financial corporations,Other or multidisciplinary,0.012913,Housing and construction,0.0,0.012913,low,low_similarity_fallback,,,"Best profile: Business, industry and trade; score=0.0129; margin=0.0129",1,1,
Bribery by legal status and sex of the person involved,bribery by legal status and sex of the person involved,Other or multidisciplinary,0.012887,Housing and construction,0.0,0.012887,low,low_similarity_fallback,,,Best profile: Health; score=0.0129; margin=0.0129,1,1,
Gender coverage rate in pension by age group – EU-SILC survey,gender coverage rate in pension by age group – eu-silc survey,Other or multidisciplinary,0.01281,Labour market,0.010703,0.002108,low,low_similarity_fallback,,,Best profile: Demography and population; score=0.0128; margin=0.0021,1,1,
Fish stocks - model based median value,fish stocks - model based median value,Other or multidisciplinary,0.012073,Housing and construction,0.0,0.012073,low,low_similarity_fallback,,,Best profile: Economy and national accounts; score=0.0121; margin=0.0121,1,3,
"Number of subscriptions to cellular mobile telephone services per 1,000 inhabitants (per 1000 Inhab)","number of subscriptions to cellular mobile telephone services per 1,000 inhabitants (per 1000 inhab)",Other or multidisciplinary,0.011565,Housing and construction,0.0,0.011565,low,low_similarity_fallback,,,Best profile: Health; score=0.0116; margin=0.0116,1,8,
Autonomous pension funds - number of enterprises by size class of investments,autonomous pension funds - number of enterprises by size class of investments,Other or multidisciplinary,0.011335,Housing and construction,0.0,0.011335,low,low_similarity_fallback,,,"Best profile: Business, industry and trade; score=0.0113; margin=0.0113",1,1,
Autonomous pension funds - number of enterprises by size class of members,autonomous pension funds - number of enterprises by size class of members,Other or multidisciplinary,0.011306,Housing and construction,0.0,0.011306,low,low_similarity_fallback,,,"Best profile: Business, industry and trade; score=0.0113; margin=0.0113",1,1,
Persons involved in trafficking in human beings by legal status and sex,persons involved in trafficking in human beings by legal status and sex,Other or multidisciplinary,0.01123,Housing and construction,0.0,0.01123,low,low_similarity_fallback,,,Best profile: Health; score=0.0112; margin=0.0112,1,1,
Share of landcover types affected by severe erosion,share of landcover types affected by severe erosion,Other or multidisciplinary,0.010782,Housing and construction,0.0,0.010782,low,low_similarity_fallback,,,"Best profile: Business, industry and trade; score=0.0108; margin=0.0108",1,1,
